contexto,imagen,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion
,,Pregunta número 15: ¿cuál es la respuesta?,Opción A de la 15,Opción B de la 15,Opción C de la 15,Opción D de la 15,C,La correcta es la C porque sí.
"Lee el siguiente fragmento y responde:

La migración de las aves obedece a cambios estacionales.",,Pregunta número 16: ¿cuál es la respuesta?,Opción A de la 16,Opción B de la 16,Opción C de la 16,Opción D de la 16,D,La correcta es la D porque sí.
,,Pregunta número 17: ¿cuál es la respuesta?,Opción A de la 17,Opción B de la 17,Opción C de la 17,Opción D de la 17,A,La correcta es la A porque sí.
,,Pregunta número 18: ¿cuál es la respuesta?,Opción A de la 18,Opción B de la 18,Opción C de la 18,Opción D de la 18,B,La correcta es la B porque sí.
,,Pregunta número 19: ¿cuál es la respuesta?,Opción A de la 19,Opción B de la 19,Opción C de la 19,Opción D de la 19,C,La correcta es la C porque sí.
,,Pregunta número 20: ¿cuál es la respuesta?,Opción A de la 20,Opción B de la 20,Opción C de la 20,Opción D de la 20,D,La correcta es la D porque sí.
"Lee el siguiente fragmento y responde:

La migración de las aves obedece a cambios estacionales.",,Pregunta número 21: ¿cuál es la respuesta?,Opción A de la 21,Opción B de la 21,Opción C de la 21,Opción D de la 21,A,La correcta es la A porque sí.
,,Pregunta número 22: ¿cuál es la respuesta?,Opción A de la 22,Opción B de la 22,Opción C de la 22,Opción D de la 22,B,La correcta es la B porque sí.
,,Pregunta número 23: ¿cuál es la respuesta?,Opción A de la 23,Opción B de la 23,Opción C de la 23,Opción D de la 23,C,La correcta es la C porque sí.
,,Pregunta número 24: ¿cuál es la respuesta?,Opción A de la 24,Opción B de la 24,Opción C de la 24,Opción D de la 24,D,La correcta es la D porque sí.
,,Pregunta número 25: ¿cuál es la respuesta?,Opción A de la 25,Opción B de la 25,Opción C de la 25,Opción D de la 25,A,La correcta es la A porque sí.
"Lee el siguiente fragmento y responde:

La migración de las aves obedece a cambios estacionales.",,Pregunta número 26: ¿cuál es la respuesta?,Opción A de la 26,Opción B de la 26,Opción C de la 26,Opción D de la 26,B,La correcta es la B porque sí.
,,Pregunta número 27: ¿cuál es la respuesta?,Opción A de la 27,Opción B de la 27,Opción C de la 27,Opción D de la 27,C,La correcta es la C porque sí.
,,Pregunta número 28: ¿cuál es la respuesta?,Opción A de la 28,Opción B de la 28,Opción C de la 28,Opción D de la 28,D,La correcta es la D porque sí.
,,Pregunta número 29: ¿cuál es la respuesta?,Opción A de la 29,Opción B de la 29,Opción C de la 29,Opción D de la 29,A,La correcta es la A porque sí.
,,Pregunta número 30: ¿cuál es la respuesta?,Opción A de la 30,Opción B de la 30,Opción C de la 30,Opción D de la 30,B,La correcta es la B porque sí.
"Lee el siguiente fragmento y responde:

La migración de las aves obedece a cambios estacionales.",,Pregunta número 31: ¿cuál es la respuesta?,Opción A de la 31,Opción B de la 31,Opción C de la 31,Opción D de la 31,C,La correcta es la C porque sí.
,,Pregunta número 32: ¿cuál es la respuesta?,Opción A de la 32,Opción B de la 32,Opción C de la 32,Opción D de la 32,D,La correcta es la D porque sí.
,,Pregunta número 33: ¿cuál es la respuesta?,Opción A de la 33,Opción B de la 33,Opción C de la 33,Opción D de la 33,A,La correcta es la A porque sí.
,,Pregunta número 34: ¿cuál es la respuesta?,Opción A de la 34,Opción B de la 34,Opción C de la 34,Opción D de la 34,B,La correcta es la B porque sí.
,,Pregunta número 35: ¿cuál es la respuesta?,Opción A de la 35,Opción B de la 35,Opción C de la 35,Opción D de la 35,C,La correcta es la C porque sí.
"Lee el siguiente fragmento y responde:

La migración de las aves obedece a cambios estacionales.",,Pregunta número 36: ¿cuál es la respuesta?,Opción A de la 36,Opción B de la 36,Opción C de la 36,Opción D de la 36,D,La correcta es la D porque sí.
,,Pregunta número 37: ¿cuál es la respuesta?,Opción A de la 37,Opción B de la 37,Opción C de la 37,Opción D de la 37,A,La correcta es la A porque sí.
,,Pregunta número 38: ¿cuál es la respuesta?,Opción A de la 38,Opción B de la 38,Opción C de la 38,Opción D de la 38,B,La correcta es la B porque sí.
,,Pregunta número 39: ¿cuál es la respuesta?,Opción A de la 39,Opción B de la 39,Opción C de la 39,Opción D de la 39,C,La correcta es la C porque sí.
,,Pregunta número 40: ¿cuál es la respuesta?,Opción A de la 40,Opción B de la 40,Opción C de la 40,Opción D de la 40,D,La correcta es la D porque sí.
"Lee el siguiente fragmento y responde:

La migración de las aves obedece a cambios estacionales.",,Pregunta número 41: ¿cuál es la respuesta?,Opción A de la 41,Opción B de la 41,Opción C de la 41,Opción D de la 41,A,La correcta es la A porque sí.
,,Pregunta número 42: ¿cuál es la respuesta?,Opción A de la 42,Opción B de la 42,Opción C de la 42,Opción D de la 42,B,La correcta es la B porque sí.
,,Pregunta número 43: ¿cuál es la respuesta?,Opción A de la 43,Opción B de la 43,Opción C de la 43,Opción D de la 43,C,La correcta es la C porque sí.
,,Pregunta número 44: ¿cuál es la respuesta?,Opción A de la 44,Opción B de la 44,Opción C de la 44,Opción D de la 44,D,La correcta es la D porque sí.
,,Pregunta número 45: ¿cuál es la respuesta?,Opción A de la 45,Opción B de la 45,Opción C de la 45,Opción D de la 45,A,La correcta es la A porque sí.
"Lee el siguiente fragmento y responde:

La migración de las aves obedece a cambios estacionales.",,Pregunta número 46: ¿cuál es la respuesta?,Opción A de la 46,Opción B de la 46,Opción C de la 46,Opción D de la 46,B,La correcta es la B porque sí.
,,Pregunta número 47: ¿cuál es la respuesta?,Opción A de la 47,Opción B de la 47,Opción C de la 47,Opción D de la 47,C,La correcta es la C porque sí.
,,Pregunta número 48: ¿cuál es la respuesta?,Opción A de la 48,Opción B de la 48,Opción C de la 48,Opción D de la 48,D,La correcta es la D porque sí.
,,Pregunta número 49: ¿cuál es la respuesta?,Opción A de la 49,Opción B de la 49,Opción C de la 49,Opción D de la 49,A,La correcta es la A porque sí.
,,Pregunta número 50: ¿cuál es la respuesta?,Opción A de la 50,Opción B de la 50,Opción C de la 50,Opción D de la 50,B,La correcta es la B porque sí.
